school,school_id,division,level,year,region
ASA New York,asabrooklynavengers,njcaa-1,NJCAA,2013,NA
Abraham Baldwin,abrahambaldwinagriculturalcollege,njcaa-1,NJCAA,2013,17
Allen County,allencountycommunitycollege,njcaa-1,NJCAA,2013,6
Alvin,alvincommunitycollege,njcaa-1,NJCAA,2013,14
Andrew,andrewcollege,njcaa-1,NJCAA,2013,17
Angelina,angelinacollege,njcaa-1,NJCAA,2013,14
Arizona Western,arizonawesterncollege,njcaa-1,NJCAA,2013,1
Arkansas Baptist,arkansasbaptistcollege,njcaa-1,NJCAA,2013,NA
Barton,bartoncommunitycollege,njcaa-1,NJCAA,2013,6
Baton Rouge,batonrougecommunitycollege,njcaa-1,NJCAA,2013,23
Bishop State,bishopstatecommunitycollege,njcaa-1,NJCAA,2013,22
Blinn,blinncollege,njcaa-1,NJCAA,2013,14
Bossier Parish,bossierparishcommunitycollege,njcaa-1,NJCAA,2013,14
Broward,browardcollege,njcaa-1,NJCAA,2013,NA
Butler,butlercommunitycollegeks,njcaa-1,NJCAA,2013,6
Calhoun,calhouncommunitycollege,njcaa-1,NJCAA,2013,22
Central Alabama,centralalabamacommunitycollege,njcaa-1,NJCAA,2013,22
Central Arizona,centralarizonacollege,njcaa-1,NJCAA,2013,1
Central Florida,collegeofcentralflorida,njcaa-1,NJCAA,2013,8
Chattahoochee Valley,chattahoocheevalleycommunitycollege,njcaa-1,NJCAA,2013,22
Chattanooga State,chattanoogastatecommunitycollege,njcaa-1,NJCAA,2013,7
Chesapeake,chesapeakecollege,njcaa-1,NJCAA,2013,NA
Chipola,chipolacollege,njcaa-1,NJCAA,2013,8
Cisco,ciscocollege,njcaa-1,NJCAA,2013,5
Clarendon,clarendoncollege,njcaa-1,NJCAA,2013,5
Cleveland State,clevelandstatecommunitycollege,njcaa-1,NJCAA,2013,7
Cloud County,cloudcountycommunitycollege,njcaa-1,NJCAA,2013,6
Coastal Alabama - Bay Minette,faulknerstatecommunitycollege,njcaa-1,NJCAA,2013,22
Coastal Alabama - Brewton,jeffersondaviscommunitycollege,njcaa-1,NJCAA,2013,22
Coastal Alabama - Monroeville,alabamasoutherncommunitycollege,njcaa-1,NJCAA,2013,22
Cochise,cochisecollege,njcaa-1,NJCAA,2013,1
Coffeyville,coffeyvillecommunitycollege,njcaa-1,NJCAA,2013,6
Colby,colbycommunitycollege,njcaa-1,NJCAA,2013,6
Colorado Northwestern,coloradonorthwesterncommunitycollege,njcaa-1,NJCAA,2013,18
Columbia State,columbiastatecommunitycollege,njcaa-1,NJCAA,2013,7
Connors State,connorsstatecollege,njcaa-1,NJCAA,2013,2
Cowley,cowleycountycommunitycollege,njcaa-1,NJCAA,2013,6
Crowder,crowdercollege,njcaa-1,NJCAA,2013,16
Darton State,dartoncollege,njcaa-1,NJCAA,2013,NA
Daytona State,daytonastatecollege,njcaa-1,NJCAA,2013,8
Delgado,delgadocommunitycollege,njcaa-1,NJCAA,2013,23
Dodge City,dodgecitycommunitycollege,njcaa-1,NJCAA,2013,6
Dyersburg State,dyersburgstatecommunitycollege,njcaa-1,NJCAA,2013,7
East Georgia State,eastgeorgiacollege,njcaa-1,NJCAA,2013,17
Eastern Arizona,easternarizonacollege,njcaa-1,NJCAA,2013,1
Eastern Florida State,brevardcommunitycollege,njcaa-1,NJCAA,2013,8
Eastern Oklahoma State,easternoklahomastatecollege,njcaa-1,NJCAA,2013,2
El Paso,elpasocommunitycollege,njcaa-1,NJCAA,2013,5
Enterprise State,enterprisestatecommunitycollege,njcaa-1,NJCAA,2013,22
Florence-Darlington Tech,florencedarlingtontechnicalcollege,njcaa-1,NJCAA,2013,10
Florida State Jacksonville,floridastatecollegeatjacksonville,njcaa-1,NJCAA,2013,NA
Fort Scott,fortscottcommunitycollege,njcaa-1,NJCAA,2013,6
Frank Phillips,frankphillipscollege,njcaa-1,NJCAA,2013,5
Galveston,galvestoncollege,njcaa-1,NJCAA,2013,14
Garden City,gardencitycommunitycollege,njcaa-1,NJCAA,2013,6
Georgia Perimeter,georgiaperimetercollege,njcaa-1,NJCAA,2013,NA
Globe Tech,globeinstituteoftechnology,njcaa-1,NJCAA,2013,NA
Gordon State,gordonstatecollege,njcaa-1,NJCAA,2013,17
Grayson,graysoncountycollege,njcaa-1,NJCAA,2013,5
Guilford Tech,guilfordtechnicalcommunitycollege,njcaa-1,NJCAA,2013,NA
Gulf Coast State,gulfcoaststatecollege,njcaa-1,NJCAA,2013,8
Hagerstown,hagerstowncommunitycollege,njcaa-1,NJCAA,2013,20
Harford,harfordcommunitycollege,njcaa-1,NJCAA,2013,20
Highland (KS),highlandcommunitycollegekansas,njcaa-1,NJCAA,2013,6
Hill,hillcollege,njcaa-1,NJCAA,2013,5
Hillsborough,hillsboroughcommunitycollege,njcaa-1,NJCAA,2013,8
Howard (TX),howardcollege,njcaa-1,NJCAA,2013,5
Hutchinson,hutchinsoncommunitycollege,njcaa-1,NJCAA,2013,6
Independence,independencecommunitycollege,njcaa-1,NJCAA,2013,NA
Indian Hills,indianhillscommunitycollegecentervil,njcaa-1,NJCAA,2013,11
Indian River State,indianriverstatecollege,njcaa-1,NJCAA,2013,8
Iowa Western,iowawesterncommunitycollege,njcaa-1,NJCAA,2013,11
Jackson State,jacksonstatecommunitycollege,njcaa-1,NJCAA,2013,7
Jefferson (MO),jeffersoncollege,njcaa-1,NJCAA,2013,16
John A. Logan,johnalogancollege,njcaa-1,NJCAA,2013,24
Johnson County,johnsoncountycommunitycollege,njcaa-1,NJCAA,2013,6
Kansas City Kansas,kansascitykansascommunitycollege,njcaa-1,NJCAA,2013,6
Kaskaskia,kaskaskiacollege,njcaa-1,NJCAA,2013,24
Kishwaukee,kishwaukeecollege,njcaa-1,NJCAA,2013,4
Labette,labettecommunitycollege,njcaa-1,NJCAA,2013,6
Lake Land,lakelandcollege,njcaa-1,NJCAA,2013,24
Lake-Sumter State,lakesumtercommunitycollege,njcaa-1,NJCAA,2013,NA
Lamar,lamarcommunitycollege,njcaa-1,NJCAA,2013,9
Laredo,laredocommunitycollege,njcaa-1,NJCAA,2013,NA
Lawson State,lawsonstatecommunitycollege,njcaa-1,NJCAA,2013,22
Lincoln Trail,lincolntrailcollege,njcaa-1,NJCAA,2013,24
Lon Morris College,lonmorriscollege,njcaa-1,NJCAA,2013,NA
Louisburg,louisburgcollege,njcaa-1,NJCAA,2013,10
Luna,lunacommunitycollege,njcaa-1,NJCAA,2013,9
Lurleen B. Wallace,lurleenbwallacecommunitycollege,njcaa-1,NJCAA,2013,22
MCC-Maple Woods,mccmaplewoods,njcaa-1,NJCAA,2013,NA
Marion Military,marionmilitaryinstitute,njcaa-1,NJCAA,2013,22
Marshalltown,marshalltowncommunitycollege,njcaa-1,NJCAA,2013,11
McCook,mccookcommunitycollege,njcaa-1,NJCAA,2013,9
McLennan,mclennancommunitycollege,njcaa-1,NJCAA,2013,5
Meridian,meridiancommunitycollege,njcaa-1,NJCAA,2013,NA
Miami Dade,miamidadecollege,njcaa-1,NJCAA,2013,8
Middle Georgia State,middlegeorgiacollege,njcaa-1,NJCAA,2013,NA
Midland,midlandcollege,njcaa-1,NJCAA,2013,5
Mineral Area,mineralareacollege,njcaa-1,NJCAA,2013,16
Monroe CC,monroecommunitycollege,njcaa-1,NJCAA,2013,NA
Monroe College,monroecollege,njcaa-1,NJCAA,2013,15
Motlow State,motlowstatecommunitycollege,njcaa-1,NJCAA,2013,7
Muscatine,muscatinecommunitycollege,njcaa-1,NJCAA,2013,NA
Navarro,navarrocollege,njcaa-1,NJCAA,2013,14
Neosho County,neoshocountycommunitycollege,njcaa-1,NJCAA,2013,6
New Mexico,newmexicojuniorcollege,njcaa-1,NJCAA,2013,5
New Mexico Military,newmexicomilitaryinstitute,njcaa-1,NJCAA,2013,5
North Central Missouri,northcentralmissouricollege,njcaa-1,NJCAA,2013,NA
North Central Texas,northcentraltexascollege,njcaa-1,NJCAA,2013,5
Northeast Texas,northeasttexascommunitycollege,njcaa-1,NJCAA,2013,14
Northeastern,northeasternjuniorcollege,njcaa-1,NJCAA,2013,9
Northeastern Oklahoma A&M,northeasternoklahomaamcollege,njcaa-1,NJCAA,2013,2
Northwest Florida State,northwestfloridastatecollege,njcaa-1,NJCAA,2013,8
Odessa,odessacollege,njcaa-1,NJCAA,2013,5
Olive-Harvey,oliveharveycollege,njcaa-1,NJCAA,2013,4
Olney Central,olneycentralcollege,njcaa-1,NJCAA,2013,24
Onondaga,onondagacommunitycollege,njcaa-1,NJCAA,2013,NA
Otero,oterojuniorcollege,njcaa-1,NJCAA,2013,9
Palm Beach State,palmbeachstatecollege,njcaa-1,NJCAA,2013,NA
Panola,panolacollege,njcaa-1,NJCAA,2013,14
Paris,parisjuniorcollege,njcaa-1,NJCAA,2013,14
Pensacola State,pensacolastatecollege,njcaa-1,NJCAA,2013,8
Pima,pimacommunitycollege,njcaa-1,NJCAA,2013,1
Pitt,pittcommunitycollege,njcaa-1,NJCAA,2013,NA
Polk State,polkstatecollege,njcaa-1,NJCAA,2013,8
Potomac State,potomacstatecollegeofwvu,njcaa-1,NJCAA,2013,20
Pratt,prattcommunitycollege,njcaa-1,NJCAA,2013,6
Ranger,rangercollege,njcaa-1,NJCAA,2013,5
Rend Lake,rendlakecollege,njcaa-1,NJCAA,2013,24
Roane State,roanestatecommunitycollege,njcaa-1,NJCAA,2013,7
Rose State,rosestatecollege,njcaa-1,NJCAA,2013,2
Salt Lake,saltlakecommunitycollege,njcaa-1,NJCAA,2013,18
San Jacinto,sanjacintocollegenorth,njcaa-1,NJCAA,2013,14
Santa Fe,santafecollege,njcaa-1,NJCAA,2013,8
Seminole State (FL),seminolestatecollegeofflorida,njcaa-1,NJCAA,2013,8
Seminole State (OK),seminolestatecollege,njcaa-1,NJCAA,2013,2
Seward County,sewardcountycommunitycollege,njcaa-1,NJCAA,2013,6
Shawnee,shawneecommunitycollege,njcaa-1,NJCAA,2013,24
Shelton State,sheltonstatecommunitycollege,njcaa-1,NJCAA,2013,22
Snead State,sneadstatecommunitycollege,njcaa-1,NJCAA,2013,22
South Florida State,southfloridastatecollege,njcaa-1,NJCAA,2013,NA
South Georgia State,southgeorgiacollege,njcaa-1,NJCAA,2013,17
South Mountain,southmountaincommunitycollege,njcaa-1,NJCAA,2013,1
South Suburban,southsuburbancollege,njcaa-1,NJCAA,2013,4
Southeastern Illinois,southeasternillinoiscollege,njcaa-1,NJCAA,2013,24
Southern Idaho,collegeofsouthernidaho,njcaa-1,NJCAA,2013,18
Southern Nevada,collegeofsouthernnevada,njcaa-1,NJCAA,2013,18
Southern Union State,southernunionstatecommunitycollege,njcaa-1,NJCAA,2013,22
Southwest Tennessee,southwesttennesseecommunitycollege,njcaa-1,NJCAA,2013,7
Southwestern Illinois,southwesternillinoiscollege,njcaa-1,NJCAA,2013,24
Spartanburg Methodist,spartanburgmethodist,njcaa-1,NJCAA,2013,11
St. Charles,stcharlescommunitycollege,njcaa-1,NJCAA,2013,16
St. Johns River State,stjohnsriverstatecollege,njcaa-1,NJCAA,2013,8
St. Louis,stlouiscommunitycollege,njcaa-1,NJCAA,2013,16
St. Petersburg,stpetersburgcollege,njcaa-1,NJCAA,2013,8
State College of Florida,statecollegeoffloridamanateesaraso,njcaa-1,NJCAA,2013,8
Tallahassee,tallahasseecommunitycollege,njcaa-1,NJCAA,2013,8
Temple,templecollege,njcaa-1,NJCAA,2013,5
Texarkana College,texarkanacollege,njcaa-1,NJCAA,2013,NA
Three Rivers,threeriverscommunitycollegemo,njcaa-1,NJCAA,2013,16
Trinidad State,trinidadstatejuniorcollege,njcaa-1,NJCAA,2013,9
Triton,tritoncollege,njcaa-1,NJCAA,2013,4
USC Lancaster,usclancaster,njcaa-1,NJCAA,2013,11
USC Salkehatchie,uscsalkehatchie,njcaa-1,NJCAA,2013,11
USC Sumter,uscsumter,njcaa-1,NJCAA,2013,11
Vernon,vernoncollege,njcaa-1,NJCAA,2013,5
Volunteer State,volunteerstatecommunitycollege,njcaa-1,NJCAA,2013,7
Wabash Valley,wabashvalleycollege,njcaa-1,NJCAA,2013,24
Wallace State,wallacestatecommunitycollegehancevil,njcaa-1,NJCAA,2013,22
Wallace-Dothan,wallacecommunitycollegedothan,njcaa-1,NJCAA,2013,22
Wallace-Selma,wallacecommunitycollegeselma,njcaa-1,NJCAA,2013,22
Walters State,waltersstatecommunitycollege,njcaa-1,NJCAA,2013,7
Weatherford,weatherfordcollege,njcaa-1,NJCAA,2013,5
West Georgia Tech,westgeorgiatechnicalcollege,njcaa-1,NJCAA,2013,NA
Western Nebraska,westernnebraskacommunitycollege,njcaa-1,NJCAA,2013,9
Western Nevada,westernnevadacollege,njcaa-1,NJCAA,2013,NA
Western Texas,westerntexascollege,njcaa-1,NJCAA,2013,5
Wharton County,whartoncountyjuniorcollege,njcaa-1,NJCAA,2013,14
Yavapai,yavapaicollege,njcaa-1,NJCAA,2013,1
ASA New York,asabrooklynavengers,njcaa-1,NJCAA,2014,NA
Abraham Baldwin,abrahambaldwinagriculturalcollege,njcaa-1,NJCAA,2014,17
Allen County,allencountycommunitycollege,njcaa-1,NJCAA,2014,6
Alvin,alvincommunitycollege,njcaa-1,NJCAA,2014,14
Andrew,andrewcollege,njcaa-1,NJCAA,2014,17
Angelina,angelinacollege,njcaa-1,NJCAA,2014,14
Arizona Western,arizonawesterncollege,njcaa-1,NJCAA,2014,1
Arkansas Baptist,arkansasbaptistcollege,njcaa-1,NJCAA,2014,NA
Barton,bartoncommunitycollege,njcaa-1,NJCAA,2014,6
Baton Rouge,batonrougecommunitycollege,njcaa-1,NJCAA,2014,23
Bishop State,bishopstatecommunitycollege,njcaa-1,NJCAA,2014,22
Blinn,blinncollege,njcaa-1,NJCAA,2014,14
Bossier Parish,bossierparishcommunitycollege,njcaa-1,NJCAA,2014,14
Broward,browardcollege,njcaa-1,NJCAA,2014,NA
Butler,butlercommunitycollegeks,njcaa-1,NJCAA,2014,6
Calhoun,calhouncommunitycollege,njcaa-1,NJCAA,2014,22
Central Alabama,centralalabamacommunitycollege,njcaa-1,NJCAA,2014,22
Central Arizona,centralarizonacollege,njcaa-1,NJCAA,2014,1
Central Florida,collegeofcentralflorida,njcaa-1,NJCAA,2014,8
Chattahoochee Valley,chattahoocheevalleycommunitycollege,njcaa-1,NJCAA,2014,22
Chattanooga State,chattanoogastatecommunitycollege,njcaa-1,NJCAA,2014,7
Chesapeake,chesapeakecollege,njcaa-1,NJCAA,2014,NA
Chipola,chipolacollege,njcaa-1,NJCAA,2014,8
Cisco,ciscocollege,njcaa-1,NJCAA,2014,5
Clarendon,clarendoncollege,njcaa-1,NJCAA,2014,5
Cleveland State,clevelandstatecommunitycollege,njcaa-1,NJCAA,2014,7
Cloud County,cloudcountycommunitycollege,njcaa-1,NJCAA,2014,6
Coastal Alabama - Bay Minette,faulknerstatecommunitycollege,njcaa-1,NJCAA,2014,22
Coastal Alabama - Brewton,jeffersondaviscommunitycollege,njcaa-1,NJCAA,2014,22
Coastal Alabama - Monroeville,alabamasoutherncommunitycollege,njcaa-1,NJCAA,2014,22
Cochise,cochisecollege,njcaa-1,NJCAA,2014,1
Coffeyville,coffeyvillecommunitycollege,njcaa-1,NJCAA,2014,6
Colby,colbycommunitycollege,njcaa-1,NJCAA,2014,6
Colorado Northwestern,coloradonorthwesterncommunitycollege,njcaa-1,NJCAA,2014,18
Columbia State,columbiastatecommunitycollege,njcaa-1,NJCAA,2014,7
Connors State,connorsstatecollege,njcaa-1,NJCAA,2014,2
Cowley,cowleycountycommunitycollege,njcaa-1,NJCAA,2014,6
Crowder,crowdercollege,njcaa-1,NJCAA,2014,16
Darton State,dartonstatecollege,njcaa-1,NJCAA,2014,NA
Daytona State,daytonastatecollege,njcaa-1,NJCAA,2014,8
Delgado,delgadocommunitycollege,njcaa-1,NJCAA,2014,23
Dodge City,dodgecitycommunitycollege,njcaa-1,NJCAA,2014,6
Dyersburg State,dyersburgstatecommunitycollege,njcaa-1,NJCAA,2014,7
East Georgia State,eastgeorgiacollege,njcaa-1,NJCAA,2014,17
Eastern Arizona,easternarizonacollege,njcaa-1,NJCAA,2014,1
Eastern Florida State,easternfloridastatecollege,njcaa-1,NJCAA,2014,8
Eastern Oklahoma State,easternoklahomastatecollege,njcaa-1,NJCAA,2014,2
El Paso,elpasocommunitycollege,njcaa-1,NJCAA,2014,5
Enterprise State,enterprisestatecommunitycollege,njcaa-1,NJCAA,2014,22
Florence-Darlington Tech,florencedarlingtontechnicalcollege,njcaa-1,NJCAA,2014,10
Florida State Jacksonville,floridastatecollegeatjacksonville,njcaa-1,NJCAA,2014,NA
Fort Scott,fortscottcommunitycollege,njcaa-1,NJCAA,2014,6
Frank Phillips,frankphillipscollege,njcaa-1,NJCAA,2014,5
Galveston,galvestoncollege,njcaa-1,NJCAA,2014,14
Garden City,gardencitycommunitycollege,njcaa-1,NJCAA,2014,6
Georgia Highlands,georgiahighlandscollege,njcaa-1,NJCAA,2014,17
Georgia Perimeter,georgiaperimetercollege,njcaa-1,NJCAA,2014,NA
Globe Tech,globeinstituteoftechnology,njcaa-1,NJCAA,2014,NA
Gordon State,gordonstatecollege,njcaa-1,NJCAA,2014,17
Grayson,graysoncountycollege,njcaa-1,NJCAA,2014,5
Guilford Tech,guilfordtechnicalcommunitycollege,njcaa-1,NJCAA,2014,NA
Gulf Coast State,gulfcoaststatecollege,njcaa-1,NJCAA,2014,8
Hagerstown,hagerstowncommunitycollege,njcaa-1,NJCAA,2014,20
Harford,harfordcommunitycollege,njcaa-1,NJCAA,2014,20
Highland (KS),highlandcommunitycollegekansas,njcaa-1,NJCAA,2014,6
Hill,hillcollege,njcaa-1,NJCAA,2014,5
Hillsborough,hillsboroughcommunitycollege,njcaa-1,NJCAA,2014,8
Howard (TX),howardcollege,njcaa-1,NJCAA,2014,5
Hutchinson,hutchinsoncommunitycollege,njcaa-1,NJCAA,2014,6
Independence,independencecommunitycollege,njcaa-1,NJCAA,2014,NA
Indian Hills,indianhillscommunitycollege,njcaa-1,NJCAA,2014,11
Indian River State,indianriverstatecollege,njcaa-1,NJCAA,2014,8
Iowa Western,iowawesterncommunitycollege,njcaa-1,NJCAA,2014,11
Jackson State,jacksonstatecommunitycollege,njcaa-1,NJCAA,2014,7
Jefferson (MO),jeffersoncollege,njcaa-1,NJCAA,2014,16
John A. Logan,johnalogancollege,njcaa-1,NJCAA,2014,24
Johnson County,johnsoncountycommunitycollege,njcaa-1,NJCAA,2014,6
Kansas City Kansas,kansascitykansascommunitycollege,njcaa-1,NJCAA,2014,6
Kaskaskia,kaskaskiacollege,njcaa-1,NJCAA,2014,24
Kishwaukee,kishwaukeecollege,njcaa-1,NJCAA,2014,4
Labette,labettecommunitycollege,njcaa-1,NJCAA,2014,6
Lake Land,lakelandcollege,njcaa-1,NJCAA,2014,24
Lake-Sumter State,lakesumterstatecollege,njcaa-1,NJCAA,2014,NA
Lamar,lamarcommunitycollege,njcaa-1,NJCAA,2014,9
Laredo,laredocommunitycollege,njcaa-1,NJCAA,2014,NA
Lawson State,lawsonstatecommunitycollege,njcaa-1,NJCAA,2014,22
Lincoln Trail,lincolntrailcollege,njcaa-1,NJCAA,2014,24
Louisburg,louisburgcollege,njcaa-1,NJCAA,2014,10
Luna,lunacommunitycollege,njcaa-1,NJCAA,2014,9
Lurleen B. Wallace,lurleenbwallacecommunitycollege,njcaa-1,NJCAA,2014,22
MCC-Maple Woods,mccmaplewoods,njcaa-1,NJCAA,2014,NA
Marion Military,marionmilitaryinstitute,njcaa-1,NJCAA,2014,22
Marshalltown,marshalltowncommunitycollege,njcaa-1,NJCAA,2014,11
McCook,mccookcommunitycollege,njcaa-1,NJCAA,2014,9
McLennan,mclennancommunitycollege,njcaa-1,NJCAA,2014,5
Meridian,meridiancommunitycollege,njcaa-1,NJCAA,2014,NA
Miami Dade,miamidadecollege,njcaa-1,NJCAA,2014,8
Middle Georgia State,middlegeorgiastatecollege,njcaa-1,NJCAA,2014,NA
Midland,midlandcollege,njcaa-1,NJCAA,2014,5
Mineral Area,mineralareacollege,njcaa-1,NJCAA,2014,16
Monroe College,monroecollege,njcaa-1,NJCAA,2014,15
Motlow State,motlowstatecommunitycollege,njcaa-1,NJCAA,2014,7
Muscatine,muscatinecommunitycollege,njcaa-1,NJCAA,2014,NA
Navarro,navarrocollege,njcaa-1,NJCAA,2014,14
Neosho County,neoshocountycommunitycollege,njcaa-1,NJCAA,2014,6
New Mexico,newmexicojuniorcollege,njcaa-1,NJCAA,2014,5
New Mexico Military,newmexicomilitaryinstitute,njcaa-1,NJCAA,2014,5
North Central Missouri,northcentralmissouricollege,njcaa-1,NJCAA,2014,NA
North Central Texas,northcentraltexascollege,njcaa-1,NJCAA,2014,5
Northeast Texas,northeasttexascommunitycollege,njcaa-1,NJCAA,2014,14
Northeastern,northeasternjuniorcollege,njcaa-1,NJCAA,2014,9
Northeastern Oklahoma A&M,northeasternoklahomaamcollege,njcaa-1,NJCAA,2014,2
Northwest Florida State,northwestfloridastatecollege,njcaa-1,NJCAA,2014,8
Odessa,odessacollege,njcaa-1,NJCAA,2014,5
Olive-Harvey,oliveharveycollege,njcaa-1,NJCAA,2014,4
Olney Central,olneycentralcollege,njcaa-1,NJCAA,2014,24
Otero,oterojuniorcollege,njcaa-1,NJCAA,2014,9
Palm Beach State,palmbeachstatecollege,njcaa-1,NJCAA,2014,NA
Panola,panolacollege,njcaa-1,NJCAA,2014,14
Paris,parisjuniorcollege,njcaa-1,NJCAA,2014,14
Pensacola State,pensacolastatecollege,njcaa-1,NJCAA,2014,8
Pima,pimacommunitycollege,njcaa-1,NJCAA,2014,1
Pitt,pittcommunitycollege,njcaa-1,NJCAA,2014,NA
Polk State,polkstatecollege,njcaa-1,NJCAA,2014,8
Potomac State,potomacstatecollegeofwvu,njcaa-1,NJCAA,2014,20
Pratt,prattcommunitycollege,njcaa-1,NJCAA,2014,6
Ranger,rangercollege,njcaa-1,NJCAA,2014,5
Rend Lake,rendlakecollege,njcaa-1,NJCAA,2014,24
Roane State,roanestatecommunitycollege,njcaa-1,NJCAA,2014,7
Rose State,rosestatecollege,njcaa-1,NJCAA,2014,2
Salt Lake,saltlakecommunitycollege,njcaa-1,NJCAA,2014,18
San Jacinto,sanjacintocollegenorth,njcaa-1,NJCAA,2014,14
Santa Fe,santafecollege,njcaa-1,NJCAA,2014,8
Seminole State (FL),seminolestatecollegeofflorida,njcaa-1,NJCAA,2014,8
Seminole State (OK),seminolestatecollege,njcaa-1,NJCAA,2014,2
Seward County,sewardcountycommunitycollege,njcaa-1,NJCAA,2014,6
Shawnee,shawneecommunitycollege,njcaa-1,NJCAA,2014,24
Shelton State,sheltonstatecommunitycollege,njcaa-1,NJCAA,2014,22
Snead State,sneadstatecommunitycollege,njcaa-1,NJCAA,2014,22
South Florida State,southfloridastatecollege,njcaa-1,NJCAA,2014,NA
South Georgia State,southgeorgiastatecollege,njcaa-1,NJCAA,2014,17
South Mountain,southmountaincommunitycollege,njcaa-1,NJCAA,2014,1
South Suburban,southsuburbancollege,njcaa-1,NJCAA,2014,4
Southeastern Illinois,southeasternillinoiscollege,njcaa-1,NJCAA,2014,24
Southern Idaho,collegeofsouthernidaho,njcaa-1,NJCAA,2014,18
Southern Nevada,collegeofsouthernnevada,njcaa-1,NJCAA,2014,18
Southern Union State,southernunionstatecommunitycollege,njcaa-1,NJCAA,2014,22
Southwest Tennessee,southwesttennesseecommunitycollege,njcaa-1,NJCAA,2014,7
Southwestern Illinois,southwesternillinoiscollege,njcaa-1,NJCAA,2014,24
Spartanburg Methodist,spartanburgmethodist,njcaa-1,NJCAA,2014,11
St. Charles,stcharlescommunitycollege,njcaa-1,NJCAA,2014,16
St. Johns River State,stjohnsriverstatecollege,njcaa-1,NJCAA,2014,8
St. Louis,stlouiscommunitycollege,njcaa-1,NJCAA,2014,16
St. Petersburg,stpetersburgcollege,njcaa-1,NJCAA,2014,8
State College of Florida,statecollegeoffloridamanateesaraso,njcaa-1,NJCAA,2014,8
Tallahassee,tallahasseecommunitycollege,njcaa-1,NJCAA,2014,8
Temple,templecollege,njcaa-1,NJCAA,2014,5
Three Rivers,threeriverscommunitycollegemo,njcaa-1,NJCAA,2014,16
Trinidad State,trinidadstatejuniorcollege,njcaa-1,NJCAA,2014,9
Triton,tritoncollege,njcaa-1,NJCAA,2014,4
USC Lancaster,usclancaster,njcaa-1,NJCAA,2014,11
USC Salkehatchie,uscsalkehatchie,njcaa-1,NJCAA,2014,11
USC Sumter,uscsumter,njcaa-1,NJCAA,2014,11
Vernon,vernoncollege,njcaa-1,NJCAA,2014,5
Volunteer State,volunteerstatecommunitycollege,njcaa-1,NJCAA,2014,7
Wabash Valley,wabashvalleycollege,njcaa-1,NJCAA,2014,24
Wallace State,wallacestatecommunitycollegehancevil,njcaa-1,NJCAA,2014,22
Wallace-Dothan,wallacecommunitycollegedothan,njcaa-1,NJCAA,2014,22
Wallace-Selma,wallacecommunitycollegeselma,njcaa-1,NJCAA,2014,22
Walters State,waltersstatecommunitycollege,njcaa-1,NJCAA,2014,7
Weatherford,weatherfordcollege,njcaa-1,NJCAA,2014,5
West Georgia Tech,westgeorgiatechnicalcollege,njcaa-1,NJCAA,2014,NA
Western Nebraska,westernnebraskacommunitycollege,njcaa-1,NJCAA,2014,9
Western Nevada,westernnevadacollege,njcaa-1,NJCAA,2014,NA
Western Texas,westerntexascollege,njcaa-1,NJCAA,2014,5
Wharton County,whartoncountyjuniorcollege,njcaa-1,NJCAA,2014,14
Yavapai,yavapaicollege,njcaa-1,NJCAA,2014,1
ASA New York,asabrooklynavengers,njcaa-1,NJCAA,2015,NA
Abraham Baldwin,abrahambaldwinagriculturalcollege,njcaa-1,NJCAA,2015,17
Allen County,allencountycommunitycollege,njcaa-1,NJCAA,2015,6
Alvin,alvincommunitycollege,njcaa-1,NJCAA,2015,14
Andrew,andrewcollege,njcaa-1,NJCAA,2015,17
Angelina,angelinacollege,njcaa-1,NJCAA,2015,14
Arizona Western,arizonawesterncollege,njcaa-1,NJCAA,2015,1
Arkansas Baptist,arkansasbaptistcollege,njcaa-1,NJCAA,2015,NA
Barton,bartoncommunitycollege,njcaa-1,NJCAA,2015,6
Baton Rouge,batonrougecommunitycollege,njcaa-1,NJCAA,2015,23
Bishop State,bishopstatecommunitycollege,njcaa-1,NJCAA,2015,22
Blinn,blinncollege,njcaa-1,NJCAA,2015,14
Bossier Parish,bossierparishcommunitycollege,njcaa-1,NJCAA,2015,14
Broward,browardcollege,njcaa-1,NJCAA,2015,NA
Butler,butlercommunitycollegeks,njcaa-1,NJCAA,2015,6
Calhoun,calhouncommunitycollege,njcaa-1,NJCAA,2015,22
Central Alabama,centralalabamacommunitycollege,njcaa-1,NJCAA,2015,22
Central Arizona,centralarizonacollege,njcaa-1,NJCAA,2015,1
Central Florida,collegeofcentralflorida,njcaa-1,NJCAA,2015,8
Chattahoochee Valley,chattahoocheevalleycommunitycollege,njcaa-1,NJCAA,2015,22
Chattanooga State,chattanoogastatecommunitycollege,njcaa-1,NJCAA,2015,7
Chesapeake,chesapeakecollege,njcaa-1,NJCAA,2015,NA
Chipola,chipolacollege,njcaa-1,NJCAA,2015,8
Cisco,ciscocollege,njcaa-1,NJCAA,2015,5
Clarendon,clarendoncollege,njcaa-1,NJCAA,2015,5
Cleveland State,clevelandstatecommunitycollege,njcaa-1,NJCAA,2015,7
Cloud County,cloudcountycommunitycollege,njcaa-1,NJCAA,2015,6
Coastal Alabama - Bay Minette,faulknerstatecommunitycollege,njcaa-1,NJCAA,2015,22
Coastal Alabama - Brewton,jeffersondaviscommunitycollege,njcaa-1,NJCAA,2015,22
